clave_mun,desocupacion_2015_%,pobreza_2015_%
1001,3.9,26.1
1002,5.8,54
1003,3.7,56.8
1004,5,43.2
1005,2.4,25
1006,4.1,34.9
1007,4.4,50.1
1008,5.8,59.6
1009,3.3,50.7
1010,6.5,55.1
1011,3.7,31.3
2001,3.1,33.5
2002,4.1,25.7
2003,3.5,26.6
2004,3.6,29.5
2005,3.2,37.8
3001,2.6,38.8
3002,2.5,27.8
3003,3.2,24.3
3008,2.2,27.6
3009,2.2,41.3
4001,3.2,58.2
4002,2.5,31.2
4003,2.8,29
4004,1.6,57.3
4005,2.5,56
4006,1.8,69
4007,2.6,60.4
4008,1.5,55.1
4009,1.7,59.1
4010,1.6,74.3
4011,1.1,67.6
5001,2.6,3.9
5002,1.6,25.2
5003,2.8,28.1
5004,2.7,41
5005,1.8,14.1
5006,3.4,23.2
5007,1.9,39.2
5008,3,54.8
5009,5.1,35.6
5010,3.7,18.4
5011,7.1,47.8
5012,1.6,45
5013,1.7,31.6
5014,2.2,44.7
5015,6.7,26.2
5016,1.6,14.3
5017,3.6,35.7
5018,2.6,17.7
5019,3.5,38.1
5020,4.3,27.6
5021,1.9,20.8
5022,3,22.3
5023,3.2,39.6
5024,3.8,36.1
5025,3.4,28.4
5026,5.8,22.9
5027,3.9,17.8
5028,3.2,22.1
5029,0.4,20.1
5030,3.4,17.5
5031,3.8,19
5032,3.7,21.7
5033,3.6,48.5
5034,6.6,16.9
5035,5.1,26.2
5036,5.5,50
5037,2.6,38.3
5038,2.7,34.8
6001,7.1,51.1
6002,3.8,27.6
6003,5.1,44.2
6004,3.7,44.9
6005,4.3,35.9
6006,9.9,59.9
6007,3.5,27.2
6008,5.1,47.4
6009,3.9,48.7
6010,2.9,24.3
7001,5.5,78.8
7002,10.9,74.9
7003,3.7,74
7004,6.8,95.1
7005,8,91.9
7006,5.5,83.7
7007,2.5,95.6
7008,5,89.2
7009,4.5,65.1
7010,11.6,97.1
7011,6.2,88.8
7012,4.3,66.5
7013,5.5,82.4
7014,4.8,98
7015,3.7,74.1
7016,11.5,76.1
7017,5.2,70.1
7018,3.5,95.1
7019,3,66.5
7020,10.4,86.3
7021,4.3,78.8
7022,13.3,99.3
7023,4.4,96.7
7024,6.2,99.6
7025,6.8,91.6
7026,3.2,98.9
7027,2.4,59.3
7028,5.6,91.2
7029,17.4,73.2
7030,5.6,84.9
7031,6.5,98.2
7032,4.6,78.3
7033,1.6,95.1
7034,4.4,81.2
7035,3.1,70
7036,3,90
7037,3.7,63.6
7038,9.4,92.7
7039,9.4,93.9
7040,3.7,68.3
7041,1.9,91.5
7042,2.1,88.7
7043,4.2,77.2
7044,3.3,87.7
7045,8.6,74.7
7046,2.9,74.9
7047,4,94.7
7048,3.9,59.4
7049,3.4,98.5
7050,0.2,63.3
7051,2,73.1
7052,3.9,90.8
7053,18.2,86.9
7054,3.2,73.7
7055,4.8,68.6
7056,8.4,98.2
7057,8.5,82.3
7058,3.3,99.4
7059,4.3,86.5
7060,2.3,95.5
7061,2.4,74.7
7062,5.6,67.7
7063,8.8,73.8
7064,3.8,97.4
7065,2.1,77
7066,10.9,98.4
7067,4.7,91.9
7068,4,64.3
7069,1.8,71.1
7070,3.4,94.1
7071,1.7,67.3
7072,3.3,90.2
7073,7.3,91.2
7074,9.5,52.6
7075,2.7,87.4
7076,5.6,98.5
7077,2.2,90.9
7078,3.3,60
7079,5.4,68.2
7080,10.6,92.9
7081,5,95.9
7082,4.5,98
7083,2.1,78.9
7084,3.4,86.9
7085,8.7,89
7086,1.8,70.2
7087,1.1,68.6
7088,3,76.2
7089,4.2,54.4
7090,3.6,89.5
7091,9,73.3
7092,7.7,82.6
7093,5.4,97.6
7094,4.9,89.8
7096,4.1,97.5
7097,3,69.8
7098,7.9,96.7
7099,2.8,85.7
7100,5.3,97.9
7101,3.9,41.9
7102,7,63.2
7103,6.4,79.5
7104,1.5,83.9
7105,5.3,80.1
7106,5,84
7107,6,83.2
7108,4.2,72.9
7109,9.1,78.7
7110,9.3,97.6
7111,7,98.4
7112,3.9,99.6
7113,21.1,99.6
7114,1.4,87.5
7115,3.6,96
7116,3,82.3
7117,2.2,96.6
7118,8,99.5
7119,0.4,99
