clave_mun,feminicidio,pob,feminicidio_tasa,Y
1001,5,877190,0.570001938,0
1002,1,46464,2.152203857,1
1003,0,56048,0,0
1004,0,15577,0,0
1005,3,120405,2.491590881,1
1006,0,46473,0,0
1007,1,53866,1.85645862,1
1008,0,8896,0,0
1009,0,20926,0,0
1010,0,20245,0,0
1011,0,46454,0,0
2001,15,486639,3.082367011,1
2002,19,988417,1.922265602,1
2003,4,102406,3.906021132,1
2004,43,1641570,2.619443581,1
2005,10,96734,10.33762689,1
3001,0,72564,0,0
3002,0,60171,0,0
3003,0,272711,0,0
3008,2,287671,0.695238658,0
3009,0,18912,0,0
4001,0,56537,0,0
4002,2,283025,0.706651356,0
4003,13,248303,5.235538838,1
4004,2,90244,2.21621382,1
4005,0,31230,0,0
4006,1,40100,2.493765586,1
4007,0,8971,0,0
4008,0,10665,0,0
4009,0,58553,0,0
4010,0,28424,0,0
4011,3,43879,6.836983523,1
5001,0,1015,0,0
5002,5,147809,3.382743947,1
5003,0,22654,0,0
5004,0,23271,0,0
5005,0,1720,0,0
5006,1,28068,3.562776115,1
5007,1,13546,7.382253064,1
5008,0,3077,0,0
5009,2,58360,3.427004798,1
5010,2,80991,2.469410181,1
5011,1,12471,8.018603159,1
5012,0,1697,0,0
5013,0,1565,0,0
5014,1,10243,9.762764815,1
5015,0,1574,0,0
5016,0,1773,0,0
5017,6,108950,5.507113355,1
5018,6,231107,2.596200029,1
5019,0,8599,0,0
5020,1,69102,1.447136118,1
5021,0,6614,0,0
5022,1,30698,3.257541208,1
5023,1,11671,8.56824608,1
5024,1,44799,2.232192683,1
5025,7,163595,4.278859378,1
5026,0,3304,0,0
5027,6,92828,6.463567027,1
5028,2,63522,3.148515475,1
5029,0,2360,0,0
5030,13,807537,1.609833357,1
5031,0,23587,0,0
5032,0,43232,0,0
5033,1,106142,0.942134122,0
5034,0,6988,0,0
5035,19,679288,2.797046319,1
5036,1,21549,4.64058657,1
5037,0,6352,0,0
5038,3,13257,22.6295542,1
6001,0,29599,0,0
6002,11,150673,7.300578073,1
6003,2,21544,9.283327144,1
6004,5,20198,24.75492623,1
6005,4,30198,13.24591033,1
6006,1,5527,18.09299801,1
6007,21,184541,11.37958502,1
6008,0,8985,0,0
6009,6,123191,4.870485669,1
6010,9,136779,6.57995745,1
7001,0,18082,0,0
7002,0,31424,0,0
7003,1,28380,3.523608175,1
7004,0,32872,0,0
7005,0,19348,0,0
7006,0,30732,0,0
7007,0,9913,0,0
7008,0,28162,0,0
7009,1,40114,2.492895249,1
7010,0,7494,0,0
7011,0,20142,0,0
7012,2,51722,3.866826495,1
7013,1,34997,2.857387776,1
7014,0,22606,0,0
7015,2,45594,4.386542089,1
7016,2,17065,11.71989452,1
7017,2,84455,2.368125037,1
7018,0,9210,0,0
7019,1,153448,0.651686565,0
7020,1,46405,2.1549402,1
7021,0,21800,0,0
7022,2,16803,11.90263643,1
7023,4,87332,4.580222599,1
7024,2,12181,16.41901322,1
7025,0,7644,0,0
7026,2,39648,5.044390638,1
7027,4,100751,3.970183919,1
7028,0,5899,0,0
7029,0,5000,0,0
7030,1,34744,2.878194796,1
7031,3,127914,2.345325766,1
7032,1,31822,3.142480045,1
7033,0,7430,0,0
7034,2,73436,2.723459883,1
7035,0,14416,0,0
7036,0,7057,0,0
7037,3,35017,8.567267327,1
7038,0,23625,0,0
7039,0,23172,0,0
7040,2,54332,3.681071928,1
7041,0,44891,0,0
7042,0,11342,0,0
7043,0,10772,0,0
7044,0,27198,0,0
7045,0,5384,0,0
7046,1,39109,2.556956199,1
7047,1,20606,4.85295545,1
7048,2,21222,9.424182452,1
7049,0,23889,0,0
7050,0,4915,0,0
7051,2,47932,4.172577819,1
7052,4,122821,3.25677205,1
7053,0,7769,0,0
7054,0,29239,0,0
7055,0,5743,0,0
7056,0,11906,0,0
7057,0,72967,0,0
7058,0,4262,0,0
7059,3,218893,1.370532635,1
7060,0,12508,0,0
7061,3,92103,3.257222892,1
7062,4,18128,22.06531333,1
7063,0,3682,0,0
7064,0,48126,0,0
7065,5,119826,4.172717106,1
7066,2,22011,9.086365908,1
7067,0,12136,0,0
7068,0,31107,0,0
7069,2,53525,3.736571695,1
7070,0,14121,0,0
7071,1,28961,3.452919443,1
7072,3,31942,9.392023042,1
7073,0,9578,0,0
7074,2,45104,4.434196524,1
7075,0,28261,0,0
7076,0,26921,0,0
7077,0,63446,0,0
7078,12,209591,5.725436684,1
7079,1,39204,2.550760127,1
7080,0,35192,0,0
7081,0,44295,0,0
7082,0,13844,0,0
7083,0,18539,0,0
7084,0,8082,0,0
7085,1,10707,9.339684319,1
7086,0,24049,0,0
7087,7,38797,18.04263216,1
7088,0,2283,0,0
7089,15,348156,4.30841347,1
7090,0,3839,0,0
7091,0,12887,0,0
7092,2,41305,4.84202881,1
7093,1,43593,2.293946276,1
7094,0,43175,0,0
7096,1,77554,1.289424143,1
7097,0,89178,0,0
7098,0,7284,0,0
7099,0,76917,0,0
7100,0,34305,0,0
7101,11,598710,1.837283493,1
7102,1,41823,2.39102886,1
7103,0,31755,0,0
7104,1,15316,6.529119875,1
7105,0,15350,0,0
7106,3,65009,4.614745651,1
7107,4,79003,5.06309887,1
7108,5,104833,4.769490523,1
7109,0,37833,0,0
7110,0,7202,0,0
7111,2,41112,4.864759681,1
7112,0,34829,0,0
7113,0,6712,0,0
7114,2,20193,9.904422325,1
7115,1,12945,7.724990344,1
7116,1,11444,8.738203425,1
7117,0,7682,0,0
7118,0,5163,0,0
7119,0,3684,0,0
7120,0,,,0
7121,0,,,0
7122,0,,,0
7123,0,,,0
7124,0,,,0
8001,1,12568,7.956715468,1
8002,0,24761,0,0
8003,0,8751,0,0
8004,1,15516,6.444960041,1
8005,0,24966,0,0
8006,0,6156,0,0
8007,0,16824,0,0
8008,2,11289,17.71636106,1
8009,0,27909,0,0
8010,0,23438,0,0
8011,0,51572,0,0
8012,1,9211,10.85658452,1
8013,1,11432,8.747375787,1
8014,0,2096,0,0
8015,0,1684,0,0
8016,0,3861,0,0
8017,5,168482,2.967676072,1
8018,0,4594,0,0
8019,25,878062,2.847179356,1
8020,0,7501,0,0
8021,1,148045,0.675470296,0
8022,0,2491,0,0
8023,0,6021,0,0
8024,1,4099,24.39619419,1
8025,0,8905,0,0
8026,0,2466,0,0
8027,2,45544,4.391357808,1
8028,0,5272,0,0
8029,2,56130,3.563156957,1
8030,1,7429,13.46076188,1
8031,0,39064,0,0
8032,0,109510,0,0
8033,0,952,0,0
8034,0,6903,0,0
8035,0,10974,0,0
8036,0,42860,0,0
8037,42,1391180,3.019019825,1
8038,0,4448,0,0
8039,0,4007,0,0
8040,0,29233,0,0
8041,0,1593,0,0
8042,0,1403,0,0
8043,0,2961,0,0
8044,0,4371,0,0
8045,0,44752,0,0
8046,0,7797,0,0
8047,0,5141,0,0
8048,0,23255,0,0
8049,0,2574,0,0
8050,1,63412,1.576988583,1
8051,0,7569,0,0
8052,0,28040,0,0
8053,0,5486,0,0
8054,0,7969,0,0
8055,0,16896,0,0
8056,0,2018,0,0
8057,0,2136,0,0
8058,0,2471,0,0
8059,0,5086,0,0
8060,0,10721,0,0
8061,0,3159,0,0
8062,0,31196,0,0
8063,1,6425,15.56420233,1
8064,0,1697,0,0
8065,0,20947,0,0
8066,1,6094,16.4095832,1
8067,0,5199,0,0
9002,11,400161,2.74889357,1
9003,13,608479,2.136474718,1
9004,1,199224,0.501947557,0
9005,31,1164477,2.662139312,1
9006,9,390348,2.305634972,1
9007,55,1827868,3.008970013,1
9008,6,243886,2.460165815,1
9009,7,137927,5.075148448,1
9010,14,749982,1.866711468,1
9011,14,361593,3.871756367,1
9012,26,677104,3.839882795,1
9013,23,415933,5.52973676,1
9014,10,417416,2.395691588,1
9015,21,532553,3.943269496,1
9016,16,364439,4.390309489,1
9017,10,427263,2.340478815,1
9998,0,,,0
10001,0,32852,0,0
10002,0,4683,0,0
10003,0,4390,0,0
10004,0,35415,0,0
10005,11,654876,1.679707303,1
10006,0,10110,0,0
10007,7,342286,2.045073418,1
10008,2,35380,5.652911249,1
10009,0,9851,0,0
10010,0,3838,0,0
10011,0,4927,0,0
10012,8,153311,5.218151339,1
10013,0,26502,0,0
10014,0,39288,0,0
10015,0,12957,0,0
10016,0,19694,0,0
10017,0,9567,0,0
10018,1,11496,8.698677801,1
10019,0,5385,0,0
10020,0,12290,0,0
10021,0,10922,0,0
10022,0,25241,0,0
10023,0,50417,0,0
10024,1,13554,7.377895824,1
10025,0,3205,0,0
10026,0,19383,0,0
10027,0,5564,0,0
10028,0,12747,0,0
10029,0,2077,0,0
10030,0,1478,0,0
10031,0,7089,0,0
10032,2,48482,4.125242358,1
10033,0,6343,0,0
10034,0,26709,0,0
10035,0,11060,0,0
10036,0,22895,0,0
10037,0,9351,0,0
10038,0,21861,0,0
10039,0,27278,0,0
11001,0,90990,0,0
11002,1,112125,0.891861761,0
11003,3,171857,1.745637361,1
11004,3,68455,4.38244102,1
11005,0,92605,0,0
11006,0,5128,0,0
11007,21,494304,4.248397747,1
11008,0,38832,0,0
11009,1,82572,1.211064283,1
11010,0,12068,0,0
11011,2,95961,2.084180031,1
11012,2,28320,7.062146893,1
11013,0,24219,0,0
11014,0,152113,0,0
11015,3,184239,1.628319737,1
11016,0,21638,0,0
11017,8,574344,1.392893458,1
11018,0,38412,0,0
11019,1,49053,2.038611298,1
11020,16,1578626,1.013539622,1
11021,1,50377,1.985032852,1
11022,2,23528,8.500510031,1
11023,2,150570,1.328285847,1
11024,0,11872,0,0
11025,0,79798,0,0
11026,0,59879,0,0
11027,2,273271,0.73187422,0
11028,2,100391,1.992210457,1
11029,0,39668,0,0
11030,1,113109,0.884102945,0
11031,1,119510,0.836750063,0
11032,1,78794,1.269132167,1
11033,1,121027,0.826261908,0
11034,0,5261,0,0
11035,1,83060,1.203948953,1
11036,1,6824,14.65416178,1
11037,1,189567,0.527517975,0
11038,0,12256,0,0
11039,1,34263,2.918600239,1
11040,0,18960,0,0
11041,0,62761,0,0
11042,3,142672,2.102725132,1
11043,0,20166,0,0
11044,5,58830,8.499065103,1
11045,0,11639,0,0
11046,2,69763,2.866849189,1
12001,48,810669,5.921035589,1
12002,0,26858,0,0
12003,0,38134,0,0
12004,0,19368,0,0
12005,0,6657,0,0
12006,0,11159,0,0
12007,1,31406,3.184104948,1
12008,0,8731,0,0
12009,0,5476,0,0
12010,0,27212,0,0
12011,0,60382,0,0
12012,0,69716,0,0
12013,1,14865,6.727211571,1
12014,0,15318,0,0
12015,0,13286,0,0
12016,0,12725,0,0
12017,1,13457,7.431076763,1
12018,0,14304,0,0
12019,0,14866,0,0
12020,2,20192,9.904912837,1
12021,2,76306,2.62102587,1
12022,2,39002,5.127942157,1
12023,1,27266,3.667571334,1
12024,0,7649,0,0
12025,0,16415,0,0
12026,0,8559,0,0
12027,0,19746,0,0
12028,1,129867,0.770018557,0
12029,5,273106,1.830790975,1
12030,0,20855,0,0
12031,0,5780,0,0
